ID,Village,Pop,Source,State,Locality,X,Y,Remarks
370,Shabasha,,Calculated,White Nile,Ed Douiem,32.25,14.141667,
371,Qawz shileibu,,GPS,White Nile,Ed Douiem,32,14.8,
372,Rudda,,GPS,White Nile,Ed Douiem,31.966667,14.183333,
373,Ruqaybah,,GPS,White Nile,Ed Douiem,31.8,14.233333,
374,Umm arda,,GPS,White Nile,Ed Douiem,32.25,14.1,
375,Shuweihat,,GPS,White Nile,Ed Douiem,31.633333,14.116667,
376,Wad bileila,,GPS,White Nile,Ed Douiem,32.016667,14.633333,
377,Wad hamid,,GPS,White Nile,Ed Douiem,31.916667,14.533333,
378,Qoz umm hagar,,GPS,White Nile,Ed Douiem,32.016667,14.766667,
379,Umm leveiwisa,,GPS,White Nile,Ed Douiem,32.05,14.433333,
380,Umm rimta,,GPS,White Nile,Ed Douiem,32.066667,14.85,
381,Qoz umm rimta,,GPS,White Nile,Ed Douiem,32.033333,14.833333,
382,Wad nimr,,GPS,White Nile,Ed Douiem,32.133333,14.533333,
383,Wad nuwur,,GPS,White Nile,Ed Douiem,32.05,14.333333,
384,Warat az zurq,,GPS,White Nile,Ed Douiem,31.85,14.35,
385,Yaqub,,GPS,White Nile,Ed Douiem,32,14.583333,
386,Qawz umm tanadib,,GPS,White Nile,Ed Douiem,32.033333,14.733333,
387,Umm ud,,GPS,White Nile,Ed Douiem,31.983333,14.883333,
388,Wad al ballah,,GPS,White Nile,Ed Douiem,32.183333,14.55,
